Time(mS),ppg,LPF1,LPF2,LPF3,LPF4,Acc x(m/s2),Acc y(m/s2),Acc z(m/s2)
0,2.191,28162,21095,14106,22839,0.147476,0.041253,0.0699416
20,2.24,28146,21076,14088,22831,0.175938,0.0522286,0.388102
40,2.302,28127,21053,14066,22816,0.214962,0.0739704,0.467137
60,2.323,28103,21026,14040,22794,0.142815,0.0718638,0.360411
80,2.366,28076,20996,14009,22765,0.0572174,0.0656768,0.47937
100,2.341,28047,20963,13974,22730,0.0359075,0.0500661,0.360478
120,2.324,28016,20930,13938,22690,-0.0260847,0.0434428,0.288307
140,2.276,27985,20897,13902,22648,-0.0614338,0.0329818,0.315352
160,2.24,27955,20867,13867,22604,-0.0951892,0.00790436,0.244494
180,2.218,27928,20840,13835,22562,-0.160272,-0.011979,0.211321
200,2.201,27906,20818,13809,22523,-0.249217,-0.025829,-0.0535851
220,2.201,27890,20803,13789,22491,-0.195322,-0.0296642,-0.0988853
240,2.195,27881,20796,13778,22466,-0.125569,-0.0297645,0.145228
260,2.183,27880,20797,13775,22450,-0.136079,-0.0263826,0.0636955
280,2.197,27888,20806,13782,22444,-0.154409,-0.00910832,-0.151252
300,2.198,27903,20823,13797,22449,-0.171543,-0.00494494,-0.202376
320,2.214,27925,20847,13820,22463,-0.133746,-0.00381992,-0.162291
340,2.237,27952,20877,13850,22486,-0.0876047,-0.00245428,-0.184413
360,2.235,27984,20911,13885,22516,-0.0372139,0.00301125,-0.144952
380,2.239,28018,20947,13924,22551,-0.000156576,0.00133006,-0.0204953
400,2.232,28053,20984,13964,22589,0.0137429,0.000193468,-0.0545131
420,2.236,28086,21021,14004,22628,0.0634036,0.00791361,0.130485
440,2.328,28116,21055,14042,22666,0.0780842,0.0251322,0.201537
460,2.544,28143,21085,14077,22701,0.114483,0.0505781,0.163755
480,2.866,28165,21112,14108,22732,0.125966,0.0546245,0.185223
500,3.11,28183,21136,14135,22758,0.0859277,0.0427293,0.168772
520,3.187,28196,21155,14158,22778,0.0483928,0.0255747,0.0471879
540,3.165,28206,21172,14177,22794,0.000890337,-0.00506732,-0.0826146
560,3.032,28213,21187,14193,22806,0.0173698,-0.0272443,-0.0586836
580,2.786,28218,21201,14206,22814,0.0366064,-0.0457371,-0.0444434
600,2.586,28223,21215,14219,22820,0.00298891,-0.0484764,-0.0283175
620,2.411,28228,21229,14230,22824,-0.0128114,-0.0496097,-0.176435
640,2.302,28235,21246,14243,22828,-0.0109193,-0.0485808,-0.274568
660,2.242,28243,21265,14256,22833,0.0112816,-0.0369052,-0.301178
680,2.194,28253,21286,14271,22838,0.0138639,-0.0261731,-0.363998
700,2.162,28266,21309,14286,22844,0.00473518,-0.0280544,-0.301814
720,2.156,28280,21333,14303,22850,0.0464811,-0.031686,-0.108902
740,2.194,28295,21359,14319,22856,0.0227873,-0.0371976,-0.216577
760,2.23,28310,21384,14334,22860,0.0502764,-0.0335837,-0.265437
780,2.314,28324,21408,14348,22862,0.0825761,-0.0327992,-0.115156
800,2.36,28337,21429,14359,22862,0.0768495,-0.0272622,-0.0325378
820,2.37,28347,21447,14367,22857,0.113872,-0.0167676,0.141284
840,2.366,28354,21461,14371,22847,0.0852702,0.00228427,0.193989
860,2.323,28357,21471,14371,22832,0.0577685,0.0253275,0.205315
880,2.295,28357,21477,14367,22813,0.0251323,0.0436734,0.271177
900,2.242,28353,21478,14359,22789,0.017153,0.0560719,0.254496
920,2.212,28347,21477,14349,22761,0.0255825,0.0488806,0.265966
940,2.201,28339,21473,14336,22731,-0.0198683,0.0349608,0.222984
960,2.19,28329,21469,14324,22701,-0.0328045,0.0114709,0.254209
980,2.18,28320,21465,14312,22671,-0.0913213,-0.0149705,0.162266
1000,2.172,28313,21463,14302,22645,-0.125992,-0.0215873,-0.0590802
1020,2.181,28308,21465,14295,22622,-0.0954568,-0.0238413,0.017496
1040,2.209,28307,21471,14294,22606,-0.104217,-0.0143962,0.0105438
1060,2.198,28311,21481,14297,22596,-0.0734132,-0.00148763,-0.0429373
1080,2.218,28320,21497,14305,22593,-0.095297,0.00139393,-0.157283
1100,2.232,28334,21518,14319,22598,-0.0793934,0.00666577,-0.166516
1120,2.256,28353,21543,14338,22610,-0.0118655,0.0119026,-0.0433585
1140,2.251,28376,21573,14361,22629,0.00769294,0.0243619,-0.155168
1160,2.24,28402,21604,14388,22653,0.0424351,0.0349965,-0.190777
1180,2.204,28430,21637,14415,22680,0.0729504,0.0189882,-0.0621688
1200,2.257,28458,21669,14443,22708,0.0421082,0.00744397,-0.276156
1220,2.439,28485,21699,14469,22737,0.0820973,-0.00966887,-0.178618
1240,2.748,28509,21727,14493,22765,0.105691,-0.0111013,-0.0233849
1260,3.055,28531,21750,14513,22790,0.0931849,0.00587262,-0.149682
1280,3.187,28548,21768,14529,22812,0.10257,0.0140007,-0.171212
1300,3.186,28560,21779,14539,22827,0.0881854,0.0238898,-0.0768241
1320,3.108,28567,21786,14544,22838,0.113395,0.0349175,0.117176
1340,2.885,28570,21786,14544,22844,0.0936054,0.0397023,0.108936
1360,2.638,28568,21782,14539,22844,0.0626754,0.0445555,0.0837423
1380,2.442,28563,21774,14529,22840,0.0219983,0.036414,0.00702253
1400,2.313,28554,21761,14516,22832,-0.0120286,0.0293544,-0.137115
1420,2.247,28543,21746,14499,22820,-0.0277208,0.0162825,0.0508484
1440,2.176,28530,21728,14480,22805,-0.0524672,-0.00220962,-0.000639031
1460,2.155,28517,21709,14460,22787,-0.0456117,-0.0100012,0.041193
1480,2.152,28503,21689,14438,22768,-0.0620579,-0.0123487,0.201994
1500,2.212,28489,21669,14416,22746,-0.0876475,-0.00114253,0.0979064
1520,2.256,28476,21650,14394,22723,-0.0633086,0.00965759,0.149994
1540,2.311,28463,21632,14372,22700,-0.0763334,0.0218191,0.233383
1560,2.321,28451,21615,14351,22675,-0.0736401,0.0341628,0.178251
1580,2.304,28441,21600,14331,22651,-0.0803504,0.0224266,0.209664
1600,2.302,28433,21587,14313,22628,-0.117127,0.019086,0.158665
1620,2.286,28426,21577,14297,22606,-0.107806,4.30E-05,0.0793747
1640,2.258,28421,21568,14283,22586,-0.104572,-0.0134176,0.0619072
1660,2.242,28419,21562,14271,22569,-0.067853,-0.0198754,0.157414
1680,2.222,28419,21559,14263,22556,-0.0631225,-0.0315976,0.116127
1700,2.191,28421,21558,14258,22547,-0.0490492,-0.0300934,0.0528634
1720,2.153,28427,21560,14256,22542,-0.0323925,-0.0253751,0.197166
1740,2.141,28436,21565,14258,22542,-0.046148,-0.0185341,-0.0432773
1760,2.148,28447,21572,14262,22547,-0.0183614,0.00178437,-0.157659
1780,2.146,28461,21582,14270,22556,0.0175109,-0.000814778,-0.157712
1800,2.134,28478,21593,14279,22569,0.044387,-0.00300734,-0.127132
