"time,sec","ppg heart rate, bpm",wi1,wi2,wi3,wi4,"candidate heart rate, bpm",
10.16,82.306,0.18257,0.78767,-1.9687,1.9172,74.799,
10.16,82.306,-2.6903,3.9892,-1.191,0.10442,46.692,
10.16,82.306,12.227,-16.014,15.912,-13.037,67.566,
10.16,82.306,15.092,-7.8296,-16.308,9.3765,63.171,
11.16,82.764,1.9276,-1.6433,-0.41936,0.91769,46.417,
11.16,82.764,-1.1006,2.326,6.2852,-7.3119,56.763,
11.16,82.764,21.707,-14.041,-17.461,9.829,80.292,
11.16,82.764,-18.392,26.095,-26.481,19.453,62.256,
12.16,83.862,-0.5414,0.67536,0.66225,-0.0096911,60.608,
12.16,83.862,-0.40036,2.1795,-0.72165,-1.0328,56.763,
12.16,83.862,12.264,-5.1427,-17.349,10.796,80.2,
12.16,83.862,12.155,-14.938,9.1215,-6.6632,101.17,
13.16,85.144,3.1069,-0.074186,-3.681,2.1273,59.509,
13.16,85.144,2.9722,-1.5425,0.26597,-2.4761,67.291,
13.16,85.144,9.0465,-4.1526,-13.006,8.4643,73.975,
13.16,85.144,9.8334,-12.403,7.2813,-5.1996,58.594,
14.16,86.975,-0.79681,1.6103,-1.0305,1.0531,62.622,
14.16,86.975,1.1677,0.60316,-0.97567,-0.78972,56.763,
14.16,86.975,-8.9251,12.441,-10.084,6.8667,57.77,101.9
14.16,86.975,8.0307,-4.0638,-10.827,7.1693,59.875,
15.16,88.348,0.68268,-0.28132,0.52861,-0.15655,62.531,
15.16,88.348,0.34513,1.6607,-1.1286,-0.93057,58.502,
15.16,88.348,-9.0188,11.851,-9.0064,6.5121,102.63,
15.16,88.348,9.7662,-4.4661,-13.105,8.0611,116.36,
16.16,88.989,1.019,-0.89909,1.3878,-0.76287,62.439,
16.16,88.989,-1.424,3.5145,-1.7323,-0.38624,59.052,
16.16,88.989,7.6469,-9.8948,7.2253,-5.3582,54.199,
16.16,88.989,12.512,-7.3789,-11.445,6.5778,90.729,
17.16,88.989,0.59583,-0.22741,0.85619,-0.45496,62.256,
17.16,88.989,-0.803,2.0366,-0.20515,-1.1519,60.791,
17.16,88.989,6.8734,-8.7772,6.6755,-5.1773,54.199,
17.16,88.989,10.466,-6.1273,-10.336,6.2945,90.271,
18.16,88.257,-1.2207,1.3975,1.244,0.03115,62.439,
18.16,88.257,0.61912,-1.498,-0.30185,1.1859,62.622,
18.16,88.257,7.7308,-4.1933,-8.6171,5.6542,89.264,
18.16,88.257,5.8685,-6.6042,3.9192,-3.5494,55.115,
19.16,86.243,1.0999,-0.70157,0.91906,-0.57291,61.798,
19.16,86.243,-0.58987,1.7983,-0.69698,-0.55927,81.94,
19.16,86.243,-3.9182,4.6944,-4.1632,3.8353,62.439,
19.16,86.243,6.9032,-4.1324,-7.4042,4.7898,87.433,
20.16,82.123,1.6303,-1.6018,1.4909,-0.80031,61.432,
20.16,82.123,4.8889,-5.9264,3.9152,-3.2842,64.819,
20.16,82.123,-1.279,3.7423,-0.36457,-2.0582,81.207,
20.16,82.123,5.9924,-2.8083,-7.2106,4.2543,84.961,
21.16,80.383,0.62736,-0.58049,1.38,-0.69239,73.242,
21.16,80.383,-3.2312,4.5314,-5.3372,4.4865,64.087,
21.16,80.383,-0.68237,2.8164,-0.27906,-1.7972,79.742,
21.16,80.383,7.1789,-4.6016,-5.621,3.2803,83.862,
22.16,79.193,-0.86476,1.4594,-0.79109,1.0674,55.939,
22.16,79.193,2.721,-2.2506,-1.4957,1.1735,71.411,
22.16,79.193,1.3608,1.4793,-3.5063,0.60564,78.369,
22.16,79.193,-7.1601,8.3743,-12.497,11.726,69.58,
23.16,79.102,-0.85214,0.81057,1.0619,-0.14928,50.72,
