"time,sec","ppg heart rate, bpm",wi1,wi2,wi3,wi4,"candidate heart rate, bpm",,
10.16,73.792,-1.4655,2.8846,-1.1536,1.1969,80.933,,
10.16,73.792,1.4537,-0.046519,0.94213,-2.4422,123.23,,
10.16,73.792,6.9397,-10.618,9.0878,-5.5558,99.884,,
10.16,73.792,-9.2363,5.4101,6.6581,-2.9709,73.425,,
11.16,73.517,-8.1601,12.216,-6.9354,4.2765,81.757,,
11.16,73.517,2.0887,-0.18719,-0.25905,-1.8775,122.5,,
11.16,73.517,16.819,-20.864,13.276,-8.9067,58.685,,
11.16,73.517,-0.6405,-5.2403,14.231,-8.6384,72.876,,
12.16,72.968,-3.4575,6.8275,-4.6917,2.849,82.123,,
12.16,72.968,0.55532,1.3385,-0.92731,-1.1822,53.467,,
12.16,72.968,-19.1,24.057,-14.518,9.8424,58.136,,
12.16,72.968,2.3503,3.5761,-12.638,6.8848,72.876,,
13.16,72.693,-3.5189,6.1873,-4.2318,3.0465,75.256,,
13.16,72.693,2.1816,-0.22512,-0.056741,-2.0227,51.453,,
13.16,72.693,-16.02,18.929,-9.6393,6.7208,57.22,,
13.16,72.693,-0.11353,6.2248,-14.59,8.594,72.235,,
14.16,72.418,-5.9619,9.5222,-5.4419,3.2439,108.12,,
14.16,72.418,1.6831,0.49152,-0.65388,-1.8008,51.178,,
14.16,72.418,-16.062,19.32,-12.555,9.0512,56.58,,
14.16,72.418,1.777,3.3144,-12.477,7.5998,72.052,,
15.16,72.235,-1.1658,2.261,-1.4408,1.8103,75.531,,
15.16,72.235,-0.72011,5.5917,-3.4679,-1.1742,123.05,,
15.16,72.235,4.9115,-2.889,-3.7059,1.7493,47.974,,
15.16,72.235,-16.514,23.941,-22.277,15.271,74.432,,
16.16,72.235,0.20535,1.6484,0.46575,-0.98878,122.13,,
16.16,72.235,-0.20394,2.4601,-1.1855,-1.3734,124.6,,
16.16,72.235,-17.337,17.331,-5.9459,6.1883,49.896,,
16.16,72.235,-9.2772,19.462,-25.252,15.618,73.517,,
17.16,72.052,1.6404,-0.58111,0.40296,-0.75015,124.42,,
17.16,72.052,0.19473,2.214,-1.8015,-0.90437,79.742,,
17.16,72.052,-13.521,21.391,-19.545,12.224,73.517,,
17.16,72.052,9.745,-6.9459,-6.1882,3.4079,46.417,,
18.16,71.869,0.78352,0.37456,-2.602,2.8588,112.34,,
18.16,71.869,1.3485,1.1621,2.5173,-4.5942,125.52,,
18.16,71.869,11.629,-8.2542,-2.1068,-1.5078,125.34,,
18.16,71.869,-7.6478,16.458,-19.197,10.695,73.517,,
19.16,71.869,-1.2427,2.6098,-3.367,2.8054,111.6,,
19.16,71.869,-8.1737,15.988,-18.163,10.239,74.066,,
19.16,71.869,2.8209,1.1169,1.908,-5.5894,126.07,,
19.16,71.869,16.526,-12.777,-0.6263,-3.2562,83.862,,
20.16,71.686,-2.1022,3.2646,-3.3985,3.0318,54.199,,
20.16,71.686,5.6358,-1.1328,1.9123,-6.1271,126.53,,
20.16,71.686,-12.722,22.051,-21.562,12.204,69.672,,
20.16,71.686,10.421,-5.0092,-8.5828,3.1253,85.785,,
21.16,71.869,-1.5938,1.2959,2.5309,-0.85712,79.193,,
21.16,71.869,-0.20245,3.177,-1.645,-1.4155,90.088,,
21.16,71.869,11.083,-5.6559,-6.2814,1.135,86.426,,
21.16,71.869,-9.1196,17.737,-20.567,12.35,69.763,,
22.16,71.869,-0.80798,-0.86246,4.7059,-1.6817,79.376,,
22.16,71.869,1.0893,2.3106,-1.4867,-1.8977,127.44,,
22.16,71.869,12.403,-7.7653,-4.6292,0.18525,89.722,,
22.16,71.869,-8.2877,16.654,-20.742,12.921,69.305,,
23.16,72.144,-2.8314,3.2445,0.21993,0.77737,80.2,,
23.16,72.144,2.0356,1.1312,-0.5845,-2.6248,127.08,,
23.16,72.144,8.9716,-1.8415,-11.461,4.6101,90.546,,
23.16,72.144,12.215,-19.493,18.635,-11.424,96.771,,
24.16,72.51,-2.3563,3.7995,-2.5317,2.5256,81.39,,
24.16,72.51,-6.4191,10.503,-13.319,9.2816,99.06,,
24.16,72.51,1.0718,2.5071,-2.126,-1.4578,126.62,,
24.16,72.51,9.9778,-6.1807,-5.8213,2.1384,92.468,,
25.16,72.51,-3.4263,0.58268,6.3154,-2.1837,81.665,,
25.16,72.51,9.6021,0.15502,-14.979,5.7953,71.411,,
25.16,72.51,1.5904,1.562,0.49537,-3.7161,82.489,,
25.16,72.51,-14.13,25.703,-31.885,20.586,52.002,,
26.16,72.693,-3.9545,6.0204,-4.3105,3.6909,82.581,,
26.16,72.693,-2.9075,7.7395,-13.38,8.5862,73.242,,
26.16,72.693,1.4141,0.99605,-0.50514,-1.929,125.52,,
26.16,72.693,10.533,-7.3694,-4.891,2.1197,68.207,,
27.16,72.51,-1.9865,4.0364,-3.6332,3.0506,83.405,,
27.16,72.51,-4.1266,8.4683,-13.656,9.3677,54.657,,
27.16,72.51,0.51465,1.7298,-0.2377,-2.0766,125.24,,
27.16,72.51,11.266,-8.7003,-2.4323,-0.023398,53.375,,
28.16,72.601,-0.77381,2.4183,-2.7559,1.9036,93.384,,
28.16,72.601,-5.1246,8.5701,-12.321,8.8755,73.608,,
28.16,72.601,0.64901,2.3346,-1.7524,-1.3585,105.65,,
28.16,72.601,11.063,-6.7847,-8.7002,4.4992,53.101,,
29.16,72.784,0.67807,-0.12977,0.99716,-0.77713,85.876,,
29.16,72.784,1.0096,1.7648,-0.88022,-2.0294,105.1,,
29.16,72.784,9.8489,-21.099,31.503,-20.671,73.425,,
29.16,72.784,13.85,-8.8542,-11.68,6.8307,50.903,,
30.16,72.876,1.8492,-2.1147,3.5026,-2.5554,121.67,,
