Time(mS),ppg,LPF1,LPF2,LPF3,LPF4,Acc x(m/s2),Acc y(m/s2),Acc z(m/s2)
0,-1976,23310,15047,7497,17167,0.0516378,-0.131347,-0.14231
20,-2017,23316,15057,7502,17164,-0.0694328,0.0574964,0.23177
40,-2017,23318,15064,7503,17156,0.170952,0.0803372,0.114865
60,-2017,23319,15068,7502,17146,0.0430159,-0.0155901,-0.930974
80,-2017,23318,15072,7501,17133,0.125625,0.198274,-0.18101
100,-2017,23318,15076,7498,17116,0.00720776,-0.11216,-0.390941
120,-2017,23316,15079,7492,17092,-0.07973,0.0740926,-0.847899
140,-2022,23312,15081,7482,17063,-0.0735618,0.0585065,-0.279124
160,-2018,23306,15082,7469,17029,-0.26481,0.199782,0.238937
180,-2022,23300,15082,7454,16993,0.369971,0.56182,0.901281
200,-2017,23294,15082,7438,16955,0.183707,0.167938,0.435005
220,-2017,23290,15084,7423,16917,-0.0389732,0.0354081,0.484053
240,-2022,23288,15088,7408,16879,0.215061,0.286368,0.767538
260,-2018,23287,15094,7393,16838,-0.0239724,0.599898,1.25299
280,-2022,23286,15101,7376,16795,0.212808,0.0767273,0.97021
300,-2018,23284,15108,7358,16749,-0.0313821,-0.828513,-1.0946
320,-2022,23281,15115,7338,16700,-0.04518,-0.475225,-0.413497
340,-2022,23277,15121,7317,16650,0.093628,-0.269405,-0.338327
360,-2017,23275,15128,7296,16601,0.161182,-0.629739,-2.03753
380,-2022,23276,15138,7278,16552,0.125523,-0.580063,-2.59554
400,-2017,23279,15151,7262,16503,-0.405323,-0.0530828,-0.994994
420,-2022,23285,15167,7247,16452,-0.111541,0.833451,0.954384
440,-2018,23294,15188,7228,16387,-0.39491,1.10857,1.28882
460,1835,23302,15207,7210,16329,-0.220533,0.610029,1.45958
480,2031,23311,15227,7193,16270,0.425122,0.135498,1.28404
500,2047,23324,15250,7177,16214,-0.391039,0.313825,0.852058
520,2031,23341,15276,7164,16163,0.0369344,0.0169053,0.541166
540,2047,23364,15305,7156,16117,0.208469,-1.1589,-0.809052
560,2024,23391,15339,7151,16075,-0.403106,-1.0819,-0.684045
580,2024,23423,15376,7149,16037,0.0890987,-0.184676,0.262808
600,2024,23458,15415,7149,16003,0.146233,-0.130883,-0.753063
620,2024,23495,15456,7150,15973,0.0490067,-0.603893,-2.15666
640,2024,23534,15497,7153,15949,0.362281,-0.161315,-1.70254
660,2024,23576,15539,7157,15929,0.221583,0.286795,-1.47588
680,2024,23618,15581,7164,15913,0.162209,0.87956,-0.625067
700,2024,23662,15623,7172,15900,-0.0300063,0.963849,0.643882
720,-2017,23703,15664,7179,15887,-0.0266384,0.539024,1.79234
740,-1960,23742,15702,7184,15872,0.0491344,0.130453,1.21558
760,-2017,23775,15736,7185,15853,-0.0284124,-0.19713,0.328894
780,-2017,23803,15763,7183,15833,-0.106535,-0.626638,-0.00695289
800,-2018,23825,15786,7178,15812,-0.481732,-0.735891,-0.484353
820,-2022,23843,15804,7172,15792,-0.131017,-0.19463,0.52562
840,-2018,23858,15818,7167,15773,0.374613,-0.175686,0.476391
860,-2022,23870,15829,7162,15756,-0.208298,-0.438069,-1.05147
880,-2018,23878,15837,7158,15739,-0.0579325,0.171079,0.484444
900,-2022,23882,15842,7153,15723,0.0813113,0.46087,1.52444
920,-2017,23884,15844,7148,15711,-0.0775668,0.412323,0.753108
940,-2022,23883,15844,7144,15702,0.11978,0.26439,0.4853
960,-2022,23881,15841,7141,15698,-0.379621,-0.448751,0.615345
980,-2018,23879,15837,7141,15698,0.0163377,-0.522426,0.228964
1000,-2022,23876,15834,7143,15703,-0.00349719,-0.348114,-0.516795
1020,-2017,23872,15831,7146,15711,-0.219155,-0.490888,-1.08989
1040,-2017,23867,15826,7149,15721,-0.0111273,-0.168771,-0.142764
1060,-2017,23860,15821,7152,15732,0.0307144,0.229918,1.10903
1080,-2017,23850,15812,7154,15745,0.20693,-0.0454847,-0.0234984
1100,-2017,23839,15802,7156,15761,-0.0195375,-0.197393,-1.99957
1120,-2018,23828,15792,7159,15782,0.137312,0.413865,-0.132269
1140,-2022,23819,15782,7168,15809,0.0936552,0.522446,0.70772
1160,-2022,23814,15776,7182,15843,0.05551,0.207974,-0.358619
1180,-2018,23813,15771,7200,15881,-0.02277,0.0745333,-0.711346
