Time(mS),ppg,LPF1,LPF2,LPF3,LPF4,Acc x(m/s2),Acc y(m/s2),Acc z(m/s2)
0,2024,25404,15373,21946,15350,0.0146879,-0.0985679,0.0056687
20,2024,25440,15399,21975,15368,0.0665814,-0.119666,0.0749154
40,2024,25464,15416,21991,15376,0.12722,0.0133475,0.279634
60,2024,25475,15424,21994,15373,0.032848,0.0823106,0.244021
80,2024,25473,15423,21983,15360,-0.0642711,-0.0309555,0.118089
100,2024,25458,15413,21959,15338,-0.00213676,-0.234383,-0.07893
120,2024,25432,15395,21924,15307,0.0618295,-0.202324,-0.0110585
140,2024,25394,15368,21877,15269,-0.012974,0.0210556,0.137467
160,-1994,25345,15335,21822,15225,-0.0327272,0.0537578,0.230193
180,-1976,25290,15295,21760,15178,-0.0527726,-0.060522,0.0894254
200,-2017,25230,15253,21696,15130,-0.00911876,-0.114243,-0.178764
220,-2021,25170,15210,21634,15083,0.00574701,-0.00302319,-0.0121452
240,-2021,25113,15169,21577,15041,-0.017386,0.074723,0.125313
260,-2017,25063,15134,21528,15004,-0.0454145,0.00777696,-0.107901
280,-2017,25021,15105,21489,14974,-0.108314,-0.050694,-0.337783
300,-2017,24990,15082,21460,14953,-0.0315999,-0.0953639,-0.322992
320,-2017,24967,15066,21441,14939,0.0444513,-0.0933709,-0.00396288
340,-2017,24955,15058,21431,14933,0.0100839,0.0532331,-0.0977113
360,-2017,24953,15056,21431,14934,0.0401898,0.124994,-0.337844
380,-2017,24962,15062,21441,14942,0.027141,0.0078006,-0.439381
400,-2021,24979,15074,21460,14956,0.0583137,-0.080194,-0.520133
420,-2017,25005,15092,21486,14977,0.105768,-0.00359421,-0.328537
440,-2022,25035,15114,21517,15001,0.0517867,0.164808,0.000824155
460,-2022,25068,15137,21551,15027,0.0262004,0.11751,0.210125
480,-2017,25101,15160,21585,15053,-0.0157745,-0.0892694,-0.221313
500,-2017,25132,15182,21616,15078,-0.0231707,-0.0127345,-0.0818345
520,-2022,25160,15202,21645,15100,0.0292177,0.0621236,0.328296
540,-2017,25186,15220,21670,15119,0.0174778,0.0893831,0.312213
560,-2017,25208,15236,21692,15135,0.00918335,0.0813754,0.243476
580,-2022,25227,15249,21710,15148,-0.023363,-0.0149363,0.150101
600,-2022,25241,15260,21725,15156,-0.0376854,-0.0590859,0.269954
620,-2017,25251,15267,21733,15159,0.0181726,-0.13814,0.382985
640,-2018,25256,15270,21733,15156,-0.0240476,0.000292446,0.303486
