Time(mS),ppg,LPF1,LPF2,LPF3,LPF4
0,3.157,17986,13366,20149,11988
20,3.6,17987,13367,20153,11993
40,3.946,17987,13367,20157,11998
60,3.981,17987,13368,20160,12002
80,3.86,17987,13369,20163,12006
100,3.645,17987,13369,20165,12009
120,3.382,17987,13369,20167,12011
140,3.158,17986,13369,20168,12013
160,2.985,17985,13369,20169,12015
180,2.903,17983,13368,20169,12015
200,2.828,17981,13366,20169,12015
220,2.758,17979,13363,20169,12015
240,2.709,17976,13360,20169,12014
260,2.675,17972,13356,20169,12013
280,2.717,17968,13351,20168,12012
300,2.762,17963,13345,20167,12010
320,2.79,17958,13338,20165,12007
340,2.852,17952,13329,20163,12004
360,2.901,17945,13319,20159,11999
380,2.903,17938,13307,20154,11994
400,2.87,17929,13293,20148,11988
420,2.817,17920,13277,20140,11981
440,2.741,17909,13258,20129,11972
460,2.649,17898,13238,20116,11963
480,2.649,17886,13216,20101,11952
500,2.594,17874,13193,20084,11941
520,2.601,17861,13168,20066,11930
540,2.601,17847,13143,20046,11918
560,2.642,17834,13118,20026,11906
580,2.638,17821,13093,20005,11895
600,2.661,17809,13069,19985,11884
620,2.666,17798,13046,19966,11874
640,2.659,17787,13025,19947,11865
660,2.724,17777,13005,19930,11857
680,3.007,17768,12987,19915,11851
700,3.527,17759,12970,19901,11845
720,3.972,17751,12956,19890,11840
740,3.993,17744,12943,19879,11837
760,4.003,17737,12931,19870,11835
780,3.96,17731,12921,19863,11833
800,3.753,17725,12911,19856,11832
820,3.458,17719,12902,19850,11831
840,3.169,17713,12894,19844,11830
860,3.034,17708,12887,19839,11830
880,2.908,17702,12880,19834,11830
900,2.856,17697,12873,19829,11829
920,2.808,17692,12866,19824,11828
940,2.755,17687,12860,19819,11827
960,2.726,17683,12854,19814,11825
980,2.754,17678,12848,19809,11823
1000,2.814,17674,12842,19804,11821
1020,2.885,17670,12837,19799,11819
1040,2.905,17667,12832,19795,11816
1060,2.88,17663,12827,19791,11813
1080,2.849,17659,12822,19787,11810
1100,2.804,17656,12817,19783,11806
1120,2.77,17652,12812,19780,11803
1140,2.689,17648,12807,19776,11800
1160,2.649,17644,12801,19773,11797
1180,2.625,17640,12796,19770,11795
1200,2.562,17635,12790,19767,11792
1220,2.61,17630,12784,19764,11790
1240,2.612,17625,12777,19760,11788
1260,2.629,17620,12769,19756,11786
1280,2.647,17614,12761,19752,11785
1300,2.618,17608,12752,19748,11783
1320,2.633,17602,12743,19743,11782
1340,2.684,17596,12732,19737,11780
1360,2.945,17589,12720,19731,11779
1380,3.431,17582,12708,19724,11777
1400,3.876,17576,12695,19716,11775
1420,3.993,17569,12682,19708,11773
1440,3.993,17562,12668,19700,11770
1460,3.949,17556,12655,19691,11768
1480,3.733,17549,12642,19683,11765
1500,3.442,17543,12629,19674,11762
1520,3.186,17538,12617,19666,11759
1540,3,17532,12606,19658,11756
1560,2.92,17527,12597,19652,11753
1580,2.836,17523,12588,19646,11751
1600,2.786,17519,12581,19641,11749
1620,2.74,17516,12575,19637,11747
1640,2.738,17513,12571,19635,11746
1660,2.727,17511,12567,19633,11745
1680,2.79,17510,12565,19633,11745
1700,2.84,17508,12563,19634,11746
1720,2.878,17508,12562,19635,11747
1740,2.888,17507,12562,19638,11748
1760,2.874,17507,12563,19641,11750
1780,2.829,17507,12563,19644,11752
1800,2.755,17507,12564,19647,11754
1820,2.719,17507,12565,19651,11756
1840,2.646,17507,12566,19654,11757
1860,2.638,17507,12567,19658,11759
1880,2.607,17507,12568,19661,11761
1900,2.562,17507,12569,19664,11762
1920,2.583,17506,12569,19667,11763
1940,2.594,17506,12570,19670,11763
1960,2.626,17506,12571,19672,11764
1980,2.654,17506,12571,19675,11764
2000,2.6,17506,12571,19677,11764
2020,2.628,17505,12571,19678,11764
2040,2.726,17505,12571,19680,11763
2060,3.108,17505,12571,19681,11763
2080,3.6,17504,12570,19682,11762
2100,3.978,17503,12570,19683,11762
2120,3.992,17503,12570,19683,11762
2140,3.991,17502,12570,19683,11762
2160,3.826,17501,12570,19682,11761
2180,3.553,17500,12569,19682,11761
2200,3.287,17499,12569,19681,11762
2220,3.075,17499,12570,19680,11762
2240,2.945,17498,12570,19679,11762
2260,2.847,17497,12570,19679,11763
2280,2.766,17497,12571,19678,11763
2300,2.674,17496,12571,19678,11764
2320,2.675,17496,12572,19677,11764
2340,2.695,17496,12572,19677,11765
2360,2.72,17496,12573,19678,11766
2380,2.79,17496,12574,19678,11766
2400,2.838,17496,12575,19679,11767
2420,2.867,17496,12575,19680,11767
2440,2.854,17496,12576,19681,11767
2460,2.777,17497,12577,19683,11768
2480,2.703,17497,12578,19684,11768
2500,2.642,17497,12579,19686,11768
2520,2.607,17497,12579,19687,11768
2540,2.589,17498,12580,19689,11768
2560,2.524,17498,12580,19691,11768
2580,2.559,17498,12581,19692,11768
2600,2.548,17498,12581,19693,11768
2620,2.565,17499,12581,19695,11768
2640,2.593,17499,12582,19696,11769
2660,2.58,17499,12582,19697,11769
2680,2.601,17499,12582,19699,11770
2700,2.555,17499,12582,19700,11771
2720,2.584,17500,12582,19701,11771
2740,2.737,17500,12581,19702,11772
2760,3.085,17500,12581,19703,11773
2780,3.541,17500,12581,19703,11774
2800,3.877,17500,12580,19703,11775
2820,3.964,17501,12579,19703,11776
2840,3.848,17501,12579,19703,11777
2860,3.599,17500,12578,19702,11778
2880,3.344,17500,12577,19701,11778
2900,3.087,17500,12576,19699,11779
2920,2.887,17500,12575,19698,11779
2940,2.773,17499,12575,19696,11779
2960,2.691,17499,12574,19695,11779
2980,2.6,17498,12574,19693,11779
3000,2.584,17498,12574,19692,11779
3020,2.6,17497,12574,19691,11778
3040,2.656,17497,12575,19690,11778
3060,2.723,17497,12575,19689,11777
3080,2.775,17497,12576,19689,11776
3100,2.831,17497,12577,19689,11776
3120,2.833,17497,12578,19689,11775
3140,2.819,17497,12579,19689,11774
3160,2.763,17497,12579,19690,11773
3180,2.712,17497,12580,19690,11772
3200,2.668,17497,12581,19691,11771
3220,2.59,17498,12582,19692,11770
3240,2.563,17498,12582,19693,11769
3260,2.565,17498,12583,19694,11768
3280,2.524,17498,12583,19695,11767
3300,2.523,17498,12584,19696,11767
3320,2.565,17498,12584,19698,11766
3340,2.582,17498,12584,19699,11766
3360,2.587,17498,12584,19700,11766
3380,2.562,17499,12585,19701,11766
3400,2.568,17499,12585,19703,11766
3420,2.59,17500,12585,19703,11766
3440,2.747,17501,12586,19704,11767
3460,3.141,17502,12586,19704,11767
3480,3.604,17503,12587,19704,11768
3500,3.918,17504,12588,19704,11769
3520,3.943,17506,12588,19703,11770
3540,3.809,17508,12589,19702,11771
3560,3.575,17510,12590,19701,11772
3580,3.322,17513,12592,19699,11773
3600,3.06,17515,12593,19698,11774
3620,2.888,17518,12594,19696,11775
3640,2.769,17521,12596,19694,11776
3660,2.692,17525,12598,19692,11777
3680,2.632,17528,12600,19690,11778
3700,2.59,17531,12602,19688,11779
3720,2.607,17535,12604,19687,11780
3740,2.696,17539,12606,19685,11781
3760,2.779,17543,12609,19685,11782
3780,2.807,17547,12611,19684,11783
3800,2.84,17550,12614,19684,11783
3820,2.835,17554,12617,19684,11784
3840,2.828,17558,12619,19684,11785
3860,2.768,17562,12622,19684,11786
3880,2.675,17566,12625,19684,11786
3900,2.643,17570,12628,19684,11787
3920,2.597,17574,12631,19685,11787
3940,2.577,17578,12634,19685,11788
3960,2.562,17582,12637,19685,11788
3980,2.528,17587,12641,19686,11789
4000,2.589,17591,12644,19686,11789
4020,2.545,17596,12647,19686,11789
4040,2.533,17601,12651,19686,11790
4060,2.542,17606,12654,19686,11790
4080,2.576,17611,12658,19686,11790
4100,2.568,17617,12662,19686,11791
4120,2.562,17622,12665,19685,11791
4140,2.741,17627,12669,19684,11791
4160,3.164,17632,12672,19683,11791
4180,3.611,17637,12675,19681,11792
4200,3.916,17642,12678,19680,11792
4220,3.923,17646,12681,19678,11793
4240,3.83,17651,12684,19675,11793
4260,3.595,17655,12686,19673,11794
4280,3.35,17659,12688,19670,11794
4300,3.094,17663,12690,19667,11795
4320,2.909,17667,12691,19664,11795
4340,2.766,17670,12693,19661,11796
4360,2.671,17674,12695,19658,11797
4380,2.618,17677,12696,19656,11797
4400,2.61,17681,12698,19653,11798
4420,2.645,17684,12699,19651,11798
4440,2.728,17688,12701,19649,11798
4460,2.826,17691,12702,19647,11798
4480,2.915,17694,12704,19646,11798
4500,2.931,17697,12706,19645,11798
4520,2.933,17701,12707,19644,11798
4540,2.868,17704,12709,19643,11798
4560,2.833,17707,12710,19643,11798
4580,2.784,17710,12712,19642,11798
4600,2.73,17713,12713,19642,11798
4620,2.618,17717,12715,19642,11798
4640,2.607,17720,12716,19642,11799
4660,2.622,17723,12718,19642,11800
4680,2.611,17727,12719,19642,11800
4700,2.584,17730,12721,19642,11801
4720,2.612,17733,12722,19642,11802
4740,2.6,17737,12723,19642,11803
4760,2.598,17740,12724,19642,11803
4780,2.579,17743,12725,19641,11804
4800,2.654,17746,12726,19640,11804
4820,2.976,17748,12727,19639,11804
4840,3.469,17750,12727,19637,11804
4860,3.905,17752,12727,19634,11804
4880,3.995,17754,12727,19632,11803
4900,3.909,17756,12727,19629,11803
4920,3.69,17757,12727,19625,11803
4940,3.388,17758,12727,19622,11803
4960,3.129,17759,12727,19618,11803
4980,2.912,17760,12727,19614,11803
5000,2.773,17761,12727,19611,11803
5020,2.675,17762,12727,19608,11803
5040,2.556,17763,12727,19606,11804
5060,2.538,17764,12727,19604,11804
5080,2.589,17765,12727,19602,11805
5100,2.706,17766,12727,19601,11805
5120,2.832,17767,12727,19600,11805
5140,2.926,17767,12728,19600,11805
5160,2.947,17768,12728,19600,11804
5180,2.95,17768,12728,19600,11804
5200,2.919,17769,12728,19600,11803
5220,2.856,17769,12728,19600,11802
5240,2.804,17769,12728,19601,11801
5260,2.738,17768,12727,19602,11800
5280,2.682,17768,12727,19603,11799
5300,2.639,17767,12727,19604,11798
5320,2.622,17767,12727,19605,11798
5340,2.596,17766,12727,19607,11797
5360,2.598,17766,12727,19608,11797
5380,2.597,17765,12727,19610,11797
5400,2.589,17765,12727,19612,11797
5420,2.611,17764,12727,19613,11796
5440,2.58,17763,12727,19615,11796
5460,2.703,17762,12727,19616,11796
5480,3.056,17761,12727,19616,11796
5500,3.574,17760,12726,19617,11795
5520,3.992,17758,12725,19616,11794
5540,4,17755,12723,19615,11794
5560,3.985,17752,12721,19614,11793
5580,3.767,17749,12718,19612,11792
5600,3.478,17745,12716,19610,11792
5620,3.199,17740,12712,19608,11791
5640,2.941,17735,12709,19605,11790
